2-3 Tree Insert and Delete for n = 300000 and Seed = 1 Time = ,2e-06
BST Insert for n = 300000 and Seed = 2 Time = ,0.262333
BST Insert and Delete for n = 300000 and Seed = 2 Time = ,0.002012
2-3 Tree Insert for n = 300000 and Seed = 2 Time = ,0.483659
2-3 Tree Insert and Delete for n = 300000 and Seed = 2 Time = ,3e-06
BST Insert for n = 300000 and Seed = 3 Time = ,0.262733
BST Insert and Delete for n = 300000 and Seed = 3 Time = ,0.001979
2-3 Tree Insert for n = 300000 and Seed = 3 Time = ,0.484905
2-3 Tree Insert and Delete for n = 300000 and Seed = 3 Time = ,2e-06
BST Insert for n = 300000 and Seed = 4 Time = ,0.256655
BST Insert and Delete for n = 300000 and Seed = 4 Time = ,0.00197
2-3 Tree Insert for n = 300000 and Seed = 4 Time = ,0.484135
2-3 Tree Insert and Delete for n = 300000 and Seed = 4 Time = ,1e-06
BST Insert for n = 300000 and Seed = 5 Time = ,0.265329
BST Insert and Delete for n = 300000 and Seed = 5 Time = ,0.001989
2-3 Tree Insert for n = 300000 and Seed = 5 Time = ,0.485798
2-3 Tree Insert and Delete for n = 300000 and Seed = 5 Time = ,2e-06
BST Insert for n = 350000 and Seed = 1 Time = ,0.297582
BST Insert and Delete for n = 350000 and Seed = 1 Time = ,0.002327
2-3 Tree Insert for n = 350000 and Seed = 1 Time = ,0.572292
2-3 Tree Insert and Delete for n = 350000 and Seed = 1 Time = ,3e-06
BST Insert for n = 350000 and Seed = 2 Time = ,0.325672
BST Insert and Delete for n = 350000 and Seed = 2 Time = ,0.002335
2-3 Tree Insert for n = 350000 and Seed = 2 Time = ,0.579266
2-3 Tree Insert and Delete for n = 350000 and Seed = 2 Time = ,7e-06
BST Insert for n = 350000 and Seed = 3 Time = ,0.324057
BST Insert and Delete for n = 350000 and Seed = 3 Time = ,0.002321
2-3 Tree Insert for n = 350000 and Seed = 3 Time = ,0.581935
2-3 Tree Insert and Delete for n = 350000 and Seed = 3 Time = ,1e-06
BST Insert for n = 350000 and Seed = 4 Time = ,0.339106
BST Insert and Delete for n = 350000 and Seed = 4 Time = ,0.002308
2-3 Tree Insert for n = 350000 and Seed = 4 Time = ,0.58024
2-3 Tree Insert and Delete for n = 350000 and Seed = 4 Time = ,2e-06
BST Insert for n = 350000 and Seed = 5 Time = ,0.31542
BST Insert and Delete for n = 350000 and Seed = 5 Time = ,0.002334
2-3 Tree Insert for n = 350000 and Seed = 5 Time = ,0.583509
2-3 Tree Insert and Delete for n = 350000 and Seed = 5 Time = ,3e-06
BST Insert for n = 400000 and Seed = 1 Time = ,0.348968
BST Insert and Delete for n = 400000 and Seed = 1 Time = ,0.002638
2-3 Tree Insert for n = 400000 and Seed = 1 Time = ,0.671003
2-3 Tree Insert and Delete for n = 400000 and Seed = 1 Time = ,3e-06
BST Insert for n = 400000 and Seed = 2 Time = ,0.367966
BST Insert and Delete for n = 400000 and Seed = 2 Time = ,0.002643
2-3 Tree Insert for n = 400000 and Seed = 2 Time = ,0.679609
2-3 Tree Insert and Delete for n = 400000 and Seed = 2 Time = ,1e-06
BST Insert for n = 400000 and Seed = 3 Time = ,0.379842
BST Insert and Delete for n = 400000 and Seed = 3 Time = ,0.002646
2-3 Tree Insert for n = 400000 and Seed = 3 Time = ,0.680763
2-3 Tree Insert and Delete for n = 400000 and Seed = 3 Time = ,3e-06
BST Insert for n = 400000 and Seed = 4 Time = ,0.376052
BST Insert and Delete for n = 400000 and Seed = 4 Time = ,0.002657
2-3 Tree Insert for n = 400000 and Seed = 4 Time = ,0.678681
2-3 Tree Insert and Delete for n = 400000 and Seed = 4 Time = ,2e-06
BST Insert for n = 400000 and Seed = 5 Time = ,0.381602
BST Insert and Delete for n = 400000 and Seed = 5 Time = ,0.002661
2-3 Tree Insert for n = 400000 and Seed = 5 Time = ,0.681282
2-3 Tree Insert and Delete for n = 400000 and Seed = 5 Time = ,2e-06
